cohort,mds1,mds2,generation,toxicity
seq,-0.563314,0.120295,47,0.023400
seq,-0.685858,0.085074,38,0.027900
seq,-0.539760,0.116317,34,0.027300
seq,-0.617209,0.114341,39,0.027200
seq,-0.585932,-0.145654,32,0.026900
seq,-0.550794,0.117684,36,0.026700
seq,-0.533174,0.124487,35,0.026600
seq,-0.757752,0.053059,38,0.025800
seq,-0.599031,0.107534,32,0.028100
seq,-0.483117,0.091432,47,0.028300
seq,-0.605409,0.051252,32,0.028100
seq,-0.795265,0.095518,32,0.028100
seq,-0.391117,-0.132756,57,0.023900
seq,-0.356004,0.189896,57,0.019700
seq,-0.470357,0.105483,33,0.029400
seq,-0.676571,0.103992,36,0.029100
seq,-0.586958,0.082017,38,0.029900
seq,-0.673921,0.060800,32,0.029600
seq,-0.504660,0.024154,59,0.017300
seq,-0.340086,0.174578,59,0.017300
seq,-0.613818,0.000431,31,0.030900
seq,-0.595214,0.083579,36,0.030900
seq,-0.657009,0.007068,32,0.030700
seq,-0.454819,-0.071070,35,0.030400
seq,-0.398413,0.173702,60,0.028000
seq,0.205244,0.035237,25,0.037800
seq,0.212166,0.026608,10,0.037100
seq,0.264824,0.002247,23,0.035700
seq,0.134690,-0.022599,15,0.035500
seq,-0.230112,0.259300,34,0.049300
seq,0.182104,0.046667,17,0.048800
seq,0.168212,0.010759,16,0.047100
seq,0.212734,0.038217,19,0.045900
seq,0.137844,-0.024200,15,0.041900
seq,0.094812,-0.071454,16,0.041900
seq,0.307527,-0.523440,2,0.065000
seq,0.383828,-0.557205,24,0.112100
seq,0.328996,-0.626423,4,0.029000
seq,0.326553,-0.550322,17,0.015100
seq,0.331105,-0.556616,17,0.028900
seq,0.313016,-0.553617,17,0.012600
seq,0.321456,-0.539276,17,0.015000
seq,0.588639,-0.615792,0,0.016100
seq,0.026502,-0.464117,0,0.027400
seq,0.313823,-0.654741,3,0.041700
seq,0.682934,-0.537777,3,0.014000
seq,0.416778,-0.375308,3,0.015900
seq,0.215642,-0.547709,3,0.012500
seq,0.197170,-0.577816,7,0.034000
