generation,active_species_count,species_count,reserves_size,max_score_variants,avg_fitness,avg_fitness_variants,elites_count,archived_count,speciation_events,merge_events,extinction_events,collapsed_to_one
97,7,7,607,0.1339,0.1225,0.0633,421,10,7,4,0,False
98,9,9,426,0.2764,0.123,0.0606,604,8,9,3,0,False
99,7,7,614,0.4269,0.1244,0.1967,426,0,7,4,0,False
100,9,9,430,0.457,0.1241,0.0981,614,6,9,2,0,False
101,7,7,619,0.4015,0.1247,0.1243,430,11,7,4,0,False
102,10,10,380,0.3964,0.125,0.0577,680,3,9,2,0,False
103,6,6,671,0.7253,0.127,0.2393,380,26,6,4,0,False
104,10,10,388,0.5076,0.1266,0.0814,671,5,10,2,0,False
105,6,6,687,0.7253,0.1295,0.2622,388,4,6,5,0,False
106,10,10,396,0.7105,0.1304,0.1742,687,5,10,2,0,False
107,6,6,691,0.6545,0.131,0.157,396,8,6,5,0,False
108,10,10,398,0.5079,0.1325,0.2023,691,9,10,2,0,False
109,6,6,702,0.6445,0.1328,0.1157,398,7,6,4,0,False
110,11,11,303,0.7105,0.1345,0.2229,802,9,10,2,0,False
111,6,6,787,0.8116,0.1357,0.1821,325,8,5,5,0,False
112,10,10,324,0.6028,0.1375,0.2617,771,25,10,2,0,False
113,6,6,717,0.06,0.1393,0.0237,324,63,6,5,0,False
114,11,11,315,0.7189,0.1473,0.2278,717,19,11,3,0,False
115,6,6,727,0.5198,0.1479,0.0818,315,1,6,5,0,False
116,11,11,317,0.5717,0.1483,0.1791,727,6,11,3,0,False
117,6,6,736,0.4269,0.1477,0.0785,317,5,6,5,0,False
118,11,11,317,0.6491,0.1486,0.2109,736,6,11,3,0,False
119,6,6,735,0.1217,0.1479,0.0466,317,14,6,5,0,False
120,11,11,328,0.7701,0.1511,0.307,735,0,11,3,0,False
121,7,7,727,0.0638,0.15,0.0289,343,3,6,5,0,False
122,10,10,357,0.7857,0.1504,0.1555,727,0,10,3,0,False
123,5,5,732,0.5885,0.1503,0.1392,354,7,5,5,0,False
124,10,10,370,0.8252,0.1531,0.2954,731,0,10,2,0,False
125,6,6,734,0.2476,0.1524,0.0659,370,6,6,5,0,False
126,11,11,186,0.7821,0.1531,0.1578,884,42,10,3,0,False
127,5,5,739,0.7675,0.1547,0.1771,336,6,4,5,0,False
128,11,11,185,0.2031,0.1548,0.07,889,6,10,2,0,False
129,6,6,742,0.1005,0.1542,0.0526,335,5,5,5,0,False
130,10,10,294,0.485,0.1541,0.0901,742,53,10,3,0,False
131,5,5,744,0.2546,0.1595,0.1646,292,11,5,5,0,False
132,11,11,147,0.112,0.1588,0.0287,894,4,10,2,0,False
133,4,4,747,0.7521,0.1593,0.1624,297,8,3,5,0,False
134,10,10,284,0.7999,0.161,0.306,747,23,10,2,0,False
135,5,5,748,0.8116,0.163,0.1737,284,13,5,5,0,False
136,11,11,140,0.8116,0.1658,0.2823,898,8,10,2,0,False
137,4,4,902,0.8533,0.1665,0.2351,140,11,4,5,0,False
138,11,11,150,0.4257,0.1667,0.1095,855,47,11,2,0,False
139,7,7,590,0.7176,0.163,0.121,300,126,6,5,0,False
140,10,10,205,0.5727,0.1443,0.1029,617,81,9,3,0,False
141,5,5,589,0.762,0.157,0.2832,205,43,5,4,0,False
142,12,12,51,0.7857,0.167,0.2839,739,26,11,2,0,False
143,4,4,661,0.6588,0.1671,0.2861,83,64,3,6,0,False
144,10,10,99,0.7105,0.1778,0.1535,661,0,10,2,0,False
145,6,6,511,0.4575,0.1798,0.3146,249,11,5,5,0,False
146,8,8,238,0.83,0.1823,0.5395,511,20,8,3,0,False
147,6,6,496,0.6491,0.182,0.1136,254,12,5,3,0,False
